_application fan
_version 2.2
_type SymmetricFan

AMBIENT_DIM
34

DIM
12

LINEALITY_DIM
7

RAYS
-3 -3 -3 -3 -3 -3 4 4 4 -3 -3 -3 4 4 4 4 4 4 -9 -3 -3 -3 4 4 4 4 4 4 -9 4 4 4 -9 -9	# 0
-9 -9 -9 -1 -1 -1 0 0 0 -1 -1 -1 0 0 0 8 8 8 9 -1 -1 -1 0 0 0 8 8 8 9 8 8 8 9 -63	# 1
-1 -1 -1 -9 -9 -9 0 0 0 -1 -1 -1 8 8 8 0 0 0 9 -1 -1 -1 8 8 8 0 0 0 9 8 8 8 -63 9	# 2
-1 -1 -1 -1 -1 -1 8 8 8 -9 -9 -9 0 0 0 0 0 0 9 -1 -1 -1 8 8 8 8 8 8 -63 0 0 0 9 9	# 3
-1 -1 -1 -1 -1 -1 8 8 8 -1 -1 -1 8 8 8 8 8 8 -63 -9 -9 -9 0 0 0 0 0 0 9 0 0 0 9 9	# 4
-5 1 1 -5 1 1 -4 -4 -8 -5 1 1 6 6 2 6 6 2 -3 -5 1 1 6 6 2 6 6 2 -3 -4 -4 -8 -3 -3	# 5
-5 1 1 -5 1 1 6 6 2 -5 1 1 -4 -4 -8 6 6 2 -3 -5 1 1 6 6 2 -4 -4 -8 -3 6 6 2 -3 -3	# 6
-5 1 1 -5 1 1 6 6 2 -5 1 1 6 6 2 -4 -4 -8 -3 -5 1 1 -4 -4 -8 6 6 2 -3 6 6 2 -3 -3	# 7
1 -5 1 1 -5 1 -4 -8 -4 1 -5 1 6 2 6 6 2 6 -3 1 -5 1 6 2 6 6 2 6 -3 -4 -8 -4 -3 -3	# 8
1 -5 1 1 -5 1 6 2 6 1 -5 1 -4 -8 -4 6 2 6 -3 1 -5 1 6 2 6 -4 -8 -4 -3 6 2 6 -3 -3	# 9
1 -5 1 1 -5 1 6 2 6 1 -5 1 6 2 6 -4 -8 -4 -3 1 -5 1 -4 -8 -4 6 2 6 -3 6 2 6 -3 -3	# 10
1 1 -5 1 1 -5 -8 -4 -4 1 1 -5 2 6 6 2 6 6 -3 1 1 -5 2 6 6 2 6 6 -3 -8 -4 -4 -3 -3	# 11
1 1 -5 1 1 -5 2 6 6 1 1 -5 -8 -4 -4 2 6 6 -3 1 1 -5 2 6 6 -8 -4 -4 -3 2 6 6 -3 -3	# 12
1 1 -5 1 1 -5 2 6 6 1 1 -5 2 6 6 -8 -4 -4 -3 1 1 -5 -8 -4 -4 2 6 6 -3 2 6 6 -3 -3	# 13
-1 0 0 -1 0 0 -1 -1 0 0 1 1 0 0 1 0 0 1 0 0 1 1 0 0 1 0 0 1 0 1 1 -8 1 1	# 14
-1 0 0 0 1 1 0 0 1 -1 0 0 -1 -1 0 0 0 1 0 0 1 1 0 0 1 1 1 -8 1 0 0 1 0 1	# 15
-1 0 0 0 1 1 0 0 1 0 1 1 0 0 1 1 1 -8 1 -1 0 0 -1 -1 0 0 0 1 0 0 0 1 0 1	# 16
0 -1 0 0 -1 0 -1 0 -1 1 0 1 0 1 0 0 1 0 0 1 0 1 0 1 0 0 1 0 0 1 -8 1 1 1	# 17
0 -1 0 1 0 1 0 1 0 0 -1 0 -1 0 -1 0 1 0 0 1 0 1 0 1 0 1 -8 1 1 0 1 0 0 1	# 18
0 -1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 -8 1 1 0 -1 0 -1 0 -1 0 1 0 0 0 1 0 0 1	# 19
0 0 -1 0 0 -1 0 -1 -1 1 1 0 1 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0 0 -8 1 1 1 1	# 20
0 0 -1 1 1 0 1 0 0 0 0 -1 0 -1 -1 1 0 0 0 1 1 0 1 0 0 -8 1 1 1 1 0 0 0 1	# 21
0 0 -1 1 1 0 1 0 0 1 1 0 1 0 0 -8 1 1 1 0 0 -1 0 -1 -1 1 0 0 0 1 0 0 0 1	# 22
0 1 1 -1 0 0 0 0 1 -1 0 0 0 0 1 -1 -1 0 0 0 1 1 1 1 -8 0 0 1 1 0 0 1 1 0	# 23
0 1 1 -1 0 0 0 0 1 0 1 1 1 1 -8 0 0 1 1 -1 0 0 0 0 1 -1 -1 0 0 0 0 1 1 0	# 24
0 1 1 0 1 1 1 1 -8 -1 0 0 0 0 1 0 0 1 1 -1 0 0 0 0 1 0 0 1 1 -1 -1 0 0 0	# 25
1 0 1 0 -1 0 0 1 0 0 -1 0 0 1 0 -1 0 -1 0 1 0 1 1 -8 1 0 1 0 1 0 1 0 1 0	# 26
1 0 1 0 -1 0 0 1 0 1 0 1 1 -8 1 0 1 0 1 0 -1 0 0 1 0 -1 0 -1 0 0 1 0 1 0	# 27
1 0 1 1 0 1 1 -8 1 0 -1 0 0 1 0 0 1 0 1 0 -1 0 0 1 0 0 1 0 1 -1 0 -1 0 0	# 28
1 1 0 0 0 -1 1 0 0 0 0 -1 1 0 0 0 -1 -1 0 1 1 0 -8 1 1 1 0 0 1 1 0 0 1 0	# 29
1 1 0 0 0 -1 1 0 0 1 1 0 -8 1 1 1 0 0 1 0 0 -1 1 0 0 0 -1 -1 0 1 0 0 1 0	# 30
1 1 0 1 1 0 -8 1 1 0 0 -1 1 0 0 1 0 0 1 0 0 -1 1 0 0 1 0 0 1 0 -1 -1 0 0	# 31
-5 -5 -5 -5 -5 -5 0 0 0 1 1 1 6 6 6 6 6 6 -9 1 1 1 6 6 6 6 6 6 -9 -8 -8 -8 -3 -3	# 32
-5 -5 -5 1 1 1 6 6 6 -5 -5 -5 0 0 0 6 6 6 -9 1 1 1 6 6 6 -8 -8 -8 -3 6 6 6 -9 -3	# 33
-5 -5 -5 1 1 1 6 6 6 1 1 1 6 6 6 -8 -8 -8 -3 -5 -5 -5 0 0 0 6 6 6 -9 6 6 6 -9 -3	# 34
1 1 1 -5 -5 -5 6 6 6 -5 -5 -5 6 6 6 0 0 0 -9 1 1 1 -8 -8 -8 6 6 6 -3 6 6 6 -3 -9	# 35
1 1 1 -5 -5 -5 6 6 6 1 1 1 -8 -8 -8 6 6 6 -3 -5 -5 -5 6 6 6 0 0 0 -9 6 6 6 -3 -9	# 36
1 1 1 1 1 1 -8 -8 -8 -5 -5 -5 6 6 6 6 6 6 -3 -5 -5 -5 6 6 6 6 6 6 -3 0 0 0 -9 -9	# 37
-9 3 3 -9 3 3 4 4 -4 -9 3 3 4 4 -4 4 4 -4 -3 -9 3 3 4 4 -4 4 4 -4 -3 4 4 -4 -3 -3	# 38
3 -9 3 3 -9 3 4 -4 4 3 -9 3 4 -4 4 4 -4 4 -3 3 -9 3 4 -4 4 4 -4 4 -3 4 -4 4 -3 -3	# 39
3 3 -9 3 3 -9 -4 4 4 3 3 -9 -4 4 4 -4 4 4 -3 3 3 -9 -4 4 4 -4 4 4 -3 -4 4 4 -3 -3	# 40
-5 3 3 -5 3 3 -12 -12 -4 -5 3 3 8 8 -4 8 8 -4 1 -5 3 3 8 8 -4 8 8 -4 1 -12 -12 -4 1 1	# 41
-5 3 3 -5 3 3 8 8 -4 -5 3 3 -12 -12 -4 8 8 -4 1 -5 3 3 8 8 -4 -12 -12 -4 1 8 8 -4 1 1	# 42
-5 3 3 -5 3 3 8 8 -4 -5 3 3 8 8 -4 -12 -12 -4 1 -5 3 3 -12 -12 -4 8 8 -4 1 8 8 -4 1 1	# 43
